date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:37	59879/59879	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:30%20GMT	https://tn24h.com/product-category/all-clocks/wall-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/all-clocks/wall-clocks/index.html	(from https://tn24h.com/)
21:37:37	3548/3548	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:48:21%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_watches.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_watches.png	(from https://tn24h.com/)
21:37:37	4384/4384	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2002:45:47%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_pocket_watches.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_pocket_watches.png	(from https://tn24h.com/)
21:37:38	55073/55073	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:31%20GMT	https://tn24h.com/product-category/antiques/	B:/project/tn24h/tn24h/tn24h.com/product-category/antiques/index.html	(from https://tn24h.com/)
21:37:38	3943/3943	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:47:15%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_clock_part.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_clock_part.png	(from https://tn24h.com/)
21:37:38	3548/3548	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:48:11%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_watch_part.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_watch_part.png	(from https://tn24h.com/)
21:37:38	3522/3522	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2002:52:24%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_new_product-1.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_new_product-1.png	(from https://tn24h.com/)
21:37:38	3195/3195	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Mar%202021%2006:46:52%20GMT	https://tn24h.com/wp-content/uploads/2021/03/icon_menu_blog.png	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/icon_menu_blog.png	(from https://tn24h.com/)
21:37:39	110318/110318	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20May%202021%2014:37:32%20GMT	https://tn24h.com/product-category/grandfather-clocks/	B:/project/tn24h/tn24h/tn24h.com/product-category/grandfather-clocks/index.html	(from https://tn24h.com/)
21:37:39	172905/172905	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Mar%202021%2008:42:58%20GMT	https://tn24h.com/wp-content/uploads/2021/03/banner.jpg	B:/project/tn24h/tn24h/tn24h.com/wp-content/uploads/2021/03/banner.jpg	(from https://tn24h.com/)
